1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10089, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
30100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
50225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
60176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
70115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
100110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
110478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
120102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
130813, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
140151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
150103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
160096, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
170066, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
180101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
190095, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
200080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
210335, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
220083, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
230100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
240102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
250214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
260098, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
270168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
280203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
290150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
300193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
310221, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
320152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
330206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
340146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
350108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
360094, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
370160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
380103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
390098, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
400189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
410102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
430206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
440063, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
450085, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
460070, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
470073, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
480145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
490104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
500107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
510108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
520118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
530102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
540102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
550103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
560058, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
570203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
580138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
590193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
600097, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
610070, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
